es,gn,notes
Caballo amarillo,Kavaju Sa'yju,animal+color
Zorrino rojo,Suru Pytã,animal+color
Manzana grande,Yva pytã guasu,sintagma nominal
Cama,Tupao,hogar
Cerdo rosa,Kure Pytã asy,animal+color
Fuego nuevo,Tata pyahu,sintagma nominal
Cebolla feo,Sevolla vai,sintagma nominal
Tenedor grande,Tenédor guasu,sintagma nominal
Escuela,Mbo'ehao,lugar/naturaleza
Libro,Kuatiarogue,escuela
Necesito plato,Aikotevẽ Atyha'i,frase: necesidad
Cuchara rápido,Kucharã pya'e,sintagma nominal
Aceite,Aceite,alimento
Cama viejo,Tupao tuja,sintagma nominal
Colibrí verde,Mainumby Hovyũ,animal+color
Tereré,Tereré,alimento
Pato viejo,Pato tuja,sintagma nominal
Silla feo,Guapyha vai,sintagma nominal
Hospital nuevo,Pohãno renda pyahu,sintagma nominal
Loro,Tu'i,animal
Vender,Ñemu,verbo
Viento rápido,Yvytu pya'e,sintagma nominal
Mariposa nuevo,Panambi pyahu,sintagma nominal
Águila feo,Taguato vai,sintagma nominal
Mesa rápido,Atyha pya'e,sintagma nominal
Tortuga amarillo,Karaí Sa'yju,animal+color
Cuchara pequeño,Kucharã michĩ,sintagma nominal
Estrella lento,Mbyja mbeguemi,sintagma nominal
Nariz,Tĩ,cuerpo
Pollo pequeño,Ryguasu so'o michĩ,sintagma nominal
Sal viejo,Juky tuja,sintagma nominal
Mono blanco,Karaí kavaju? Morotĩ,animal+color
Árbol nuevo,Yvyra pyahu,sintagma nominal
Colibrí,Mainumby,animal
Armadillo,Tatu,animal
Pez verde,Pira Hovyũ,animal+color
Lechuza lento,Mbopi'i mbeguemi,sintagma nominal
Leche bonito,Kamby porã,sintagma nominal
Mariposa lento,Panambi mbeguemi,sintagma nominal
Zorro blanco,Aguara Morotĩ,animal+color
Leer,Moñe'ẽ,verbo
Sapo blanco,Kururu Morotĩ,animal+color
Caballo naranja,Kavaju Narã,animal+color
Piña bonito,Karapepẽ porã,sintagma nominal
Abeja bonito,Eíra porã,sintagma nominal
Pez feo,Pira vai,sintagma nominal
Tortuga blanco,Karaí Morotĩ,animal+color
Murciélago pequeño,Mbopi michĩ,sintagma nominal
Patio pequeño,Kora michĩ,sintagma nominal
Vaso viejo,Hy'áiha tuja,sintagma nominal
Necesito techo,Aikotevẽ Apytere,frase: necesidad
Sol barato,Kuarahy hepy'ỹ,sintagma nominal
Caballo grande,Kavaju guasu,sintagma nominal
Perro rojo,Jagua Pytã,animal+color
Buho pequeño,Urukure'a michĩ,sintagma nominal
Nuestro esposo,Ñande Ména,posesivo+familia
Cocina,Kokina,hogar
Caballo rápido,Kavaju pya'e,sintagma nominal
Perro azul,Jagua Hovy,animal+color
Águila lento,Taguato mbeguemi,sintagma nominal
Yerba mate caro,Ka'a hepy,sintagma nominal
Nuestro (excl.) padre,Ore Túva,posesivo+familia
Banana barato,Pakova hepy'ỹ,sintagma nominal
Pez azul,Pira Hovy,animal+color
Puerta caro,Okẽ hepy,sintagma nominal
Maíz pequeño,Avati michĩ,sintagma nominal
Piña barato,Karapepẽ hepy'ỹ,sintagma nominal
Necesito plaza,Aikotevẽ Plása,frase: necesidad
Armadillo pequeño,Tatu michĩ,sintagma nominal
Hormiga naranja,Tapi'í Narã,animal+color
Arroz rápido,Arro pya'e,sintagma nominal
Perro viejo,Jagua tuja,sintagma nominal
Plaza rápido,Plása pya'e,sintagma nominal
Mercado feo,Merkádo vai,sintagma nominal
Cuchara barato,Kucharã hepy'ỹ,sintagma nominal
Colibrí nuevo,Mainumby pyahu,sintagma nominal
Lluvia barato,Ama hepy'ỹ,sintagma nominal
Pollo nuevo,Ryguasu so'o pyahu,sintagma nominal
Caballo rojo,Kavaju Pytã,animal+color
Mono amarillo,Karaí kavaju? Sa'yju,animal+color
Huevo feo,Rupi'a vai,sintagma nominal
Cuatro,Irundy,número
Puerta bonito,Okẽ porã,sintagma nominal
Cama nuevo,Tupao pyahu,sintagma nominal
Árbol lento,Yvyra mbeguemi,sintagma nominal
Hormiga nuevo,Tapi'í pyahu,sintagma nominal
Cerdo rojo,Kure Pytã,animal+color
Cuchillo bonito,Kuchillo porã,sintagma nominal
Vaca viejo,Vaka tuja,sintagma nominal
Gato lento,Mbarakaja mbeguemi,sintagma nominal
Sapo nuevo,Kururu pyahu,sintagma nominal
Papaya,Mamón,alimento
Olvidar,Resarái,verbo
Habitación feo,Kotý vai,sintagma nominal
Perdón,Eñyrõ,cortesía
Quiero café,Aipota Kafe,frase: deseo
Pez naranja,Pira Narã,animal+color
Plato rápido,Atyha'i pya'e,sintagma nominal
Tortuga rojo,Karaí Pytã,animal+color
Hormiga negro,Tapi'í Hũ,animal+color
Gallina rosa,Ryguasu Pytã asy,animal+color
Mariposa violeta,Panambi Hovyũ pytã,animal+color
Murciélago feo,Mbopi vai,sintagma nominal
Agua barato,Y hepy'ỹ,sintagma nominal
Gallina bonito,Ryguasu porã,sintagma nominal
Nuestro (excl.) abuelo,Ore Taitaguasu,posesivo+familia
Queso lento,Kesú mbeguemi,sintagma nominal
Agua rápido,Y pya'e,sintagma nominal
Huevo bonito,Rupi'a porã,sintagma nominal
Escuela grande,Mbo'ehao guasu,sintagma nominal
Agua pequeño,Y michĩ,sintagma nominal
Olla caro,Kyguãi hepy,sintagma nominal
Caballo lento,Kavaju mbeguemi,sintagma nominal
Arroz nuevo,Arro pyahu,sintagma nominal
Queso feo,Kesú vai,sintagma nominal
Puerta lento,Okẽ mbeguemi,sintagma nominal
Necesito estrella,Aikotevẽ Mbyja,frase: necesidad
Quiero pera,Aipota Perá,frase: deseo
Cerdo amarillo,Kure Sa'yju,animal+color
Perro pequeño,Jagua michĩ,sintagma nominal
Pato rosa,Pato Pytã asy,animal+color
Sal pequeño,Juky michĩ,sintagma nominal
Agua nuevo,Y pyahu,sintagma nominal
Quiero uva,Aipota Yva rykue,frase: deseo
Silla barato,Guapyha hepy'ỹ,sintagma nominal
Fruta feo,Yva vai,sintagma nominal
Río rápido,Ysyry pya'e,sintagma nominal
Pez rojo,Pira Pytã,animal+color
Tierra grande,Yvy guasu,sintagma nominal
Sapo caro,Kururu hepy,sintagma nominal
Sopa barato,Sopa hepy'ỹ,sintagma nominal
Necesito cocina,Aikotevẽ Kokina,frase: necesidad
Maíz nuevo,Avati pyahu,sintagma nominal
Ventana rápido,Ovetã pya'e,sintagma nominal
Selva rápido,Ka'aguasu pya'e,sintagma nominal
Sapo verde,Kururu Hovyũ,animal+color
Lechuza violeta,Mbopi'i Hovyũ pytã,animal+color
Pie,Py,cuerpo
Nuestro (excl.) esposa,Ore Tembireko,posesivo+familia
Sopa pequeño,Sopa michĩ,sintagma nominal
Buen viaje,Tape porã,deseo
Hormiga blanco,Tapi'í Morotĩ,animal+color
Águila barato,Taguato hepy'ỹ,sintagma nominal
Baño bonito,Jahuha porã,sintagma nominal
Mercado nuevo,Merkádo pyahu,sintagma nominal
Loro blanco,Tu'i Morotĩ,animal+color
Fuego pequeño,Tata michĩ,sintagma nominal
Carne bonito,So'o porã,sintagma nominal
Patio barato,Kora hepy'ỹ,sintagma nominal
Hormiga marrón,Tapi'í Hũ sa'yju,animal+color
Pez,Pira,animal
Tenedor feo,Tenédor vai,sintagma nominal
Baño,Jahuha,hogar
Quiero pimienta,Aipota Kỹikĩ,frase: deseo
Lluvia rápido,Ama pya'e,sintagma nominal
Zorro negro,Aguara Hũ,animal+color
Loro caro,Tu'i hepy,sintagma nominal
Gato grande,Mbarakaja guasu,sintagma nominal
Cerdo negro,Kure Hũ,animal+color
Ajo pequeño,Ajo michĩ,sintagma nominal
Naranja viejo,Narã yva tuja,sintagma nominal
Aceite lento,Aceite mbeguemi,sintagma nominal
Pollo,Ryguasu so'o,alimento
Aceite rápido,Aceite pya'e,sintagma nominal
Vaca rápido,Vaka pya'e,sintagma nominal
Colibrí rojo,Mainumby Pytã,animal+color
Loro rosa,Tu'i Pytã asy,animal+color
Viento viejo,Yvytu tuja,sintagma nominal
Pimienta pequeño,Kỹikĩ michĩ,sintagma nominal
Armadillo blanco,Tatu Morotĩ,animal+color
Negro,Hũ,color
Quiero mandioca,Aipota Mandi'o,frase: deseo
Yacaré nuevo,Jakare pyahu,sintagma nominal
Pájaro grande,Guyra guasu,sintagma nominal
Gallina lento,Ryguasu mbeguemi,sintagma nominal
Quiero azúcar,Aipota Azuka,frase: deseo
Queso caro,Kesú hepy,sintagma nominal
Carne lento,So'o mbeguemi,sintagma nominal
Tomate viejo,Tomáte tuja,sintagma nominal
Olla rápido,Kyguãi pya'e,sintagma nominal
Tía,Tía,familia
Loro azul,Tu'i Hovy,animal+color
Necesito escuela,Aikotevẽ Mbo'ehao,frase: necesidad
Uva grande,Yva rykue guasu,sintagma nominal
Quiero pan,Aipota Mbujapé,frase: deseo
Colibrí caro,Mainumby hepy,sintagma nominal
Pimienta lento,Kỹikĩ mbeguemi,sintagma nominal
Pez rápido,Pira pya'e,sintagma nominal
Fuego barato,Tata hepy'ỹ,sintagma nominal
Pollo caro,Ryguasu so'o hepy,sintagma nominal
Tenedor,Tenédor,hogar
Café bonito,Kafe porã,sintagma nominal
Mandioca nuevo,Mandi'o pyahu,sintagma nominal
Lago grande,Ypa guasu,sintagma nominal
Maíz viejo,Avati tuja,sintagma nominal
Vaca nuevo,Vaka pyahu,sintagma nominal
Abeja nuevo,Eíra pyahu,sintagma nominal
Violeta,Hovyũ pytã,color
Iglesia nuevo,Tupao pyahu,sintagma nominal
Pato,Pato,animal
Tierra pequeño,Yvy michĩ,sintagma nominal
Arroz,Arro,alimento
Árbol barato,Yvyra hepy'ỹ,sintagma nominal
Piña viejo,Karapepẽ tuja,sintagma nominal
Mariposa negro,Panambi Hũ,animal+color
Buho,Urukure'a,animal
Nuestro (excl.) madre,Ore Sy,posesivo+familia
Iglesia pequeño,Tupao michĩ,sintagma nominal
Piña caro,Karapepẽ hepy,sintagma nominal
Pato pequeño,Pato michĩ,sintagma nominal
Banana,Pakova,alimento
Gallina negro,Ryguasu Hũ,animal+color
Pájaro pequeño,Guyra michĩ,sintagma nominal
Iglesia rápido,Tupao pya'e,sintagma nominal
Pez rosa,Pira Pytã asy,animal+color
Escuela viejo,Mbo'ehao tuja,sintagma nominal
Plaza feo,Plása vai,sintagma nominal
Abeja marrón,Eíra Hũ sa'yju,animal+color
Nuestro (excl.) esposo,Ore Ména,posesivo+familia
Puerta barato,Okẽ hepy'ỹ,sintagma nominal
Pájaro rojo,Guyra Pytã,animal+color
Yacaré marrón,Jakare Hũ sa'yju,animal+color
Tortuga bonito,Karaí porã,sintagma nominal
Pato rojo,Pato Pytã,animal+color
Quiero piña,Aipota Karapepẽ,frase: deseo
Mi esposa,Che Tembireko,posesivo+familia
Ventana nuevo,Ovetã pyahu,sintagma nominal
Mariposa pequeño,Panambi michĩ,sintagma nominal
Hormiga feo,Tapi'í vai,sintagma nominal
Árbol bonito,Yvyra porã,sintagma nominal
Papaya barato,Mamón hepy'ỹ,sintagma nominal
Leche pequeño,Kamby michĩ,sintagma nominal
Banana nuevo,Pakova pyahu,sintagma nominal
Mi madre,Che Sy,posesivo+familia
Plato grande,Atyha'i guasu,sintagma nominal
Ajo nuevo,Ajo pyahu,sintagma nominal
Blanco,Morotĩ,color
Uva barato,Yva rykue hepy'ỹ,sintagma nominal
Lago pequeño,Ypa michĩ,sintagma nominal
Lechuza viejo,Mbopi'i tuja,sintagma nominal
Mesa bonito,Atyha porã,sintagma nominal
Abuela,Jarýi,familia
Mi primo,Che Prímo,posesivo+familia
Colibrí rosa,Mainumby Pytã asy,animal+color
Loro pequeño,Tu'i michĩ,sintagma nominal
Viento barato,Yvytu hepy'ỹ,sintagma nominal
Fuego caro,Tata hepy,sintagma nominal
Abeja rosa,Eíra Pytã asy,animal+color
Perro caro,Jagua hepy,sintagma nominal
Amarillo,Sa'yju,color
Abeja viejo,Eíra tuja,sintagma nominal
Casa grande,Óga guasu,sintagma nominal
Pez blanco,Pira Morotĩ,animal+color
Nuestro (excl.) hija,Ore Rajy,posesivo+familia
Cama feo,Tupao vai,sintagma nominal
Pájaro marrón,Guyra Hũ sa'yju,animal+color
Olla pequeño,Kyguãi michĩ,sintagma nominal
Pan feo,Mbujapé vai,sintagma nominal
Piso feo,Yvy vai,sintagma nominal
Ciudad nuevo,Táva pyahu,sintagma nominal
Colibrí lento,Mainumby mbeguemi,sintagma nominal
Techo lento,Apytere mbeguemi,sintagma nominal
Quiero leche,Aipota Kamby,frase: deseo
Águila blanco,Taguato Morotĩ,animal+color
Iglesia lento,Tupao mbeguemi,sintagma nominal
Piña lento,Karapepẽ mbeguemi,sintagma nominal
Mariposa verde,Panambi Hovyũ,animal+color
Murciélago caro,Mbopi hepy,sintagma nominal
Cerdo viejo,Kure tuja,sintagma nominal
Naranja rápido,Narã yva pya'e,sintagma nominal
Harina grande,Harina guasu,sintagma nominal
Uva nuevo,Yva rykue pyahu,sintagma nominal
Siete,Pokõi,número
Sopa viejo,Sopa tuja,sintagma nominal
Vaso bonito,Hy'áiha porã,sintagma nominal
Mandioca lento,Mandi'o mbeguemi,sintagma nominal
Águila negro,Taguato Hũ,animal+color
Papaya rápido,Mamón pya'e,sintagma nominal
Carne nuevo,So'o pyahu,sintagma nominal
Gato amarillo,Mbarakaja Sa'yju,animal+color
Maíz,Avati,alimento
Murciélago marrón,Mbopi Hũ sa'yju,animal+color
Mesa pequeño,Atyha michĩ,sintagma nominal
Techo barato,Apytere hepy'ỹ,sintagma nominal
Buho grande,Urukure'a guasu,sintagma nominal
Murciélago azul,Mbopi Hovy,animal+color
Harina feo,Harina vai,sintagma nominal
Nuestro abuela,Ñande Jarýi,posesivo+familia
Tortuga lento,Karaí mbeguemi,sintagma nominal
Luna viejo,Jasy tuja,sintagma nominal
Cuaderno,Kuatiakuéra,escuela
Sol rápido,Kuarahy pya'e,sintagma nominal
Pimienta bonito,Kỹikĩ porã,sintagma nominal
Naranja feo,Narã yva vai,sintagma nominal
Caballo bonito,Kavaju porã,sintagma nominal
Zorrino lento,Suru mbeguemi,sintagma nominal
Naranja,Narã yva,alimento
Techo viejo,Apytere tuja,sintagma nominal
Mi padre,Che Túva,posesivo+familia
Huevo rápido,Rupi'a pya'e,sintagma nominal
Pez negro,Pira Hũ,animal+color
Mono viejo,Karaí kavaju? tuja,sintagma nominal
Tu abuela,Nde Jarýi,posesivo+familia
Estrella rápido,Mbyja pya'e,sintagma nominal
Uva lento,Yva rykue mbeguemi,sintagma nominal
Casa rápido,Óga pya'e,sintagma nominal
Pez amarillo,Pira Sa'yju,animal+color
Vaca rosa,Vaka Pytã asy,animal+color
Lago lento,Ypa mbeguemi,sintagma nominal
Cama grande,Tupao guasu,sintagma nominal
Habitación viejo,Kotý tuja,sintagma nominal
Hospital grande,Pohãno renda guasu,sintagma nominal
Plaza caro,Plása hepy,sintagma nominal
Mi tío,Che Tío,posesivo+familia
Selva nuevo,Ka'aguasu pyahu,sintagma nominal
Maíz rápido,Avati pya'e,sintagma nominal
Cerdo violeta,Kure Hovyũ pytã,animal+color
Huevo grande,Rupi'a guasu,sintagma nominal
Gallina marrón,Ryguasu Hũ sa'yju,animal+color
Sapo rápido,Kururu pya'e,sintagma nominal
Harina barato,Harina hepy'ỹ,sintagma nominal
Abeja pequeño,Eíra michĩ,sintagma nominal
Campo lento,Okára mbeguemi,sintagma nominal
Padre,Túva,familia
Manzana viejo,Yva pytã tuja,sintagma nominal
Tu prima,Nde Príma,posesivo+familia
Carne rápido,So'o pya'e,sintagma nominal
Vaca feo,Vaka vai,sintagma nominal
Baño grande,Jahuha guasu,sintagma nominal
Azúcar viejo,Azuka tuja,sintagma nominal
Camino grande,Tape guasu,sintagma nominal
Leche caro,Kamby hepy,sintagma nominal
Río pequeño,Ysyry michĩ,sintagma nominal
Casa viejo,Óga tuja,sintagma nominal
Azúcar nuevo,Azuka pyahu,sintagma nominal
Iglesia viejo,Tupao tuja,sintagma nominal
Armadillo rosa,Tatu Pytã asy,animal+color
Plato feo,Atyha'i vai,sintagma nominal
Cuchillo nuevo,Kuchillo pyahu,sintagma nominal
Banana pequeño,Pakova michĩ,sintagma nominal
Perro rápido,Jagua pya'e,sintagma nominal
Sopa lento,Sopa mbeguemi,sintagma nominal
Pan rápido,Mbujapé pya'e,sintagma nominal
Selva,Ka'aguasu,lugar/naturaleza
Ventana pequeño,Ovetã michĩ,sintagma nominal
Pez nuevo,Pira pyahu,sintagma nominal
Fruta bonito,Yva porã,sintagma nominal
Vaca bonito,Vaka porã,sintagma nominal
Manzana bonito,Yva pytã porã,sintagma nominal
Necesito mercado,Aikotevẽ Merkádo,frase: necesidad
Ventana barato,Ovetã hepy'ỹ,sintagma nominal
Habitación rápido,Kotý pya'e,sintagma nominal
Sol nuevo,Kuarahy pyahu,sintagma nominal
Pan viejo,Mbujapé tuja,sintagma nominal
Hablar,Ñe'ẽ,verbo
Mi hija,Che Rajy,posesivo+familia
Tu vecino,Nde Vecino,posesivo+familia
Hospital pequeño,Pohãno renda michĩ,sintagma nominal
Brazo,Jyva,cuerpo
Azúcar grande,Azuka guasu,sintagma nominal
Naranja bonito,Narã yva porã,sintagma nominal
Yerba mate lento,Ka'a mbeguemi,sintagma nominal
Iglesia bonito,Tupao porã,sintagma nominal
Azúcar caro,Azuka hepy,sintagma nominal
Estoy bien,Iporã,respuesta
Quiero frutilla,Aipota Frutilla,frase: deseo
Tierra lento,Yvy mbeguemi,sintagma nominal
Hospital,Pohãno renda,lugar/naturaleza
Cerdo blanco,Kure Morotĩ,animal+color
Colibrí blanco,Mainumby Morotĩ,animal+color
Cocina grande,Kokina guasu,sintagma nominal
Quiero pollo,Aipota Ryguasu so'o,frase: deseo
Sol viejo,Kuarahy tuja,sintagma nominal
Quiero mango,Aipota Mango,frase: deseo
Perro blanco,Jagua Morotĩ,animal+color
Cuchara feo,Kucharã vai,sintagma nominal
Nuestro padre,Ñande Túva,posesivo+familia
Zorro caro,Aguara hepy,sintagma nominal
Murciélago rosa,Mbopi Pytã asy,animal+color
Manzana caro,Yva pytã hepy,sintagma nominal
Harina,Harina,alimento
Mercado grande,Merkádo guasu,sintagma nominal
Fruta rápido,Yva pya'e,sintagma nominal
Manzana barato,Yva pytã hepy'ỹ,sintagma nominal
Silla grande,Guapyha guasu,sintagma nominal
Cerdo verde,Kure Hovyũ,animal+color
Yacaré,Jakare,animal
Azul,Hovy,color
Tu tía,Nde Tía,posesivo+familia
Perro violeta,Jagua Hovyũ pytã,animal+color
Pan barato,Mbujapé hepy'ỹ,sintagma nominal
Caballo verde,Kavaju Hovyũ,animal+color
Necesito lluvia,Aikotevẽ Ama,frase: necesidad
Viento bonito,Yvytu porã,sintagma nominal
Vaca verde,Vaka Hovyũ,animal+color
Iglesia feo,Tupao vai,sintagma nominal
Harina caro,Harina hepy,sintagma nominal
Agua bonito,Y porã,sintagma nominal
Zanahoria,Zanahoria,verdura
Abeja violeta,Eíra Hovyũ pytã,animal+color
Río caro,Ysyry hepy,sintagma nominal
Selva bonito,Ka'aguasu porã,sintagma nominal
Fuego feo,Tata vai,sintagma nominal
Habitación pequeño,Kotý michĩ,sintagma nominal
Tortuga verde,Karaí Hovyũ,animal+color
Sandía,Sandía,alimento
Tierra caro,Yvy hepy,sintagma nominal
Prima,Príma,familia
Ciudad viejo,Táva tuja,sintagma nominal
Escuela barato,Mbo'ehao hepy'ỹ,sintagma nominal
Aceite nuevo,Aceite pyahu,sintagma nominal
Sal nuevo,Juky pyahu,sintagma nominal
Escuela nuevo,Mbo'ehao pyahu,sintagma nominal
Sandía caro,Sandía hepy,sintagma nominal
Baño viejo,Jahuha tuja,sintagma nominal
Pájaro negro,Guyra Hũ,animal+color
Viento lento,Yvytu mbeguemi,sintagma nominal
Tomate feo,Tomáte vai,sintagma nominal
Casa nuevo,Óga pyahu,sintagma nominal
Quiero arroz,Aipota Arro,frase: deseo
Yacaré blanco,Jakare Morotĩ,animal+color
Tierra rápido,Yvy pya'e,sintagma nominal
Olla lento,Kyguãi mbeguemi,sintagma nominal
Cuchara viejo,Kucharã tuja,sintagma nominal
Hospital caro,Pohãno renda hepy,sintagma nominal
Quiero pimiento,Aipota Pimiẽta,frase: deseo
Gato marrón,Mbarakaja Hũ sa'yju,animal+color
Tortuga violeta,Karaí Hovyũ pytã,animal+color
Zorro amarillo,Aguara Sa'yju,animal+color
Buenos días,Ko'ẽ porã,saludo
Carne viejo,So'o tuja,sintagma nominal
Piso lento,Yvy mbeguemi,sintagma nominal
Leche lento,Kamby mbeguemi,sintagma nominal
Olla grande,Kyguãi guasu,sintagma nominal
Mariposa rojo,Panambi Pytã,animal+color
Mono bonito,Karaí kavaju? porã,sintagma nominal
Maíz lento,Avati mbeguemi,sintagma nominal
Armadillo barato,Tatu hepy'ỹ,sintagma nominal
Gallina verde,Ryguasu Hovyũ,animal+color
Vaso barato,Hy'áiha hepy'ỹ,sintagma nominal
Yacaré feo,Jakare vai,sintagma nominal
Tierra bonito,Yvy porã,sintagma nominal
Agua grande,Y guasu,sintagma nominal
Río viejo,Ysyry tuja,sintagma nominal
Plato barato,Atyha'i hepy'ỹ,sintagma nominal
Quiero sandía,Aipota Sandía,frase: deseo
Hormiga viejo,Tapi'í tuja,sintagma nominal
Hormiga barato,Tapi'í hepy'ỹ,sintagma nominal
Luna,Jasy,lugar/naturaleza
Yerba mate viejo,Ka'a tuja,sintagma nominal
Camino barato,Tape hepy'ỹ,sintagma nominal
Águila violeta,Taguato Hovyũ pytã,animal+color
Hola,Maitei,saludo
Naranja lento,Narã yva mbeguemi,sintagma nominal
Perro nuevo,Jagua pyahu,sintagma nominal
Baño lento,Jahuha mbeguemi,sintagma nominal
Armadillo caro,Tatu hepy,sintagma nominal
Lechuza nuevo,Mbopi'i pyahu,sintagma nominal
Banana rápido,Pakova pya'e,sintagma nominal
Naranja pequeño,Narã yva michĩ,sintagma nominal
Tereré viejo,Tereré tuja,sintagma nominal
Pez lento,Pira mbeguemi,sintagma nominal
Sol pequeño,Kuarahy michĩ,sintagma nominal
Tereré feo,Tereré vai,sintagma nominal
Pájaro naranja,Guyra Narã,animal+color
Tomate,Tomáte,alimento
Gallina feo,Ryguasu vai,sintagma nominal
Murciélago lento,Mbopi mbeguemi,sintagma nominal
Gallina grande,Ryguasu guasu,sintagma nominal
Pájaro feo,Guyra vai,sintagma nominal
Murciélago,Mbopi,animal
Fuego bonito,Tata porã,sintagma nominal
Pan bonito,Mbujapé porã,sintagma nominal
Mi abuela,Che Jarýi,posesivo+familia
Luna feo,Jasy vai,sintagma nominal
Cuchillo lento,Kuchillo mbeguemi,sintagma nominal
Quiero huevo,Aipota Rupi'a,frase: deseo
Armadillo bonito,Tatu porã,sintagma nominal
Tierra nuevo,Yvy pyahu,sintagma nominal
Pan grande,Mbujapé guasu,sintagma nominal
Buho marrón,Urukure'a Hũ sa'yju,animal+color
Abeja,Eíra,animal
Puerta grande,Okẽ guasu,sintagma nominal
Necesito piso,Aikotevẽ Yvy,frase: necesidad
Olla barato,Kyguãi hepy'ỹ,sintagma nominal
Luna grande,Jasy guasu,sintagma nominal
Sopa nuevo,Sopa pyahu,sintagma nominal
Colibrí negro,Mainumby Hũ,animal+color
Casa barato,Óga hepy'ỹ,sintagma nominal
Queso viejo,Kesú tuja,sintagma nominal
Cebolla,Sevolla,alimento
Plaza viejo,Plása tuja,sintagma nominal
Pájaro amarillo,Guyra Sa'yju,animal+color
Necesito mesa,Aikotevẽ Atyha,frase: necesidad
Zorrino nuevo,Suru pyahu,sintagma nominal
Cocina bonito,Kokina porã,sintagma nominal
Agua viejo,Y tuja,sintagma nominal
Fuego rápido,Tata pya'e,sintagma nominal
Sapo azul,Kururu Hovy,animal+color
Mariposa,Panambi,animal
Agua caro,Y hepy,sintagma nominal
Mariposa naranja,Panambi Narã,animal+color
Yacaré naranja,Jakare Narã,animal+color
Zorro pequeño,Aguara michĩ,sintagma nominal
Armadillo rojo,Tatu Pytã,animal+color
Mono barato,Karaí kavaju? hepy'ỹ,sintagma nominal
Luna caro,Jasy hepy,sintagma nominal
Gato verde,Mbarakaja Hovyũ,animal+color
Quiero mandarina,Aipota Mandarina,frase: deseo
Zorrino verde,Suru Hovyũ,animal+color
Estrella nuevo,Mbyja pyahu,sintagma nominal
Quiero tomate,Aipota Tomáte,frase: deseo
Ciudad grande,Táva guasu,sintagma nominal
Río lento,Ysyry mbeguemi,sintagma nominal
Uva,Yva rykue,alimento
Gallina amarillo,Ryguasu Sa'yju,animal+color
Yerba mate rápido,Ka'a pya'e,sintagma nominal
Mono violeta,Karaí kavaju? Hovyũ pytã,animal+color
Caballo nuevo,Kavaju pyahu,sintagma nominal
Queso,Kesú,alimento
Mono marrón,Karaí kavaju? Hũ sa'yju,animal+color
Zorro barato,Aguara hepy'ỹ,sintagma nominal
Águila nuevo,Taguato pyahu,sintagma nominal
Vaca barato,Vaka hepy'ỹ,sintagma nominal
Fruta barato,Yva hepy'ỹ,sintagma nominal
Café caro,Kafe hepy,sintagma nominal
Necesito cuchillo,Aikotevẽ Kuchillo,frase: necesidad
Patio grande,Kora guasu,sintagma nominal
Pato azul,Pato Hovy,animal+color
Fuego viejo,Tata tuja,sintagma nominal
Muchas gracias,Aguyje eterei,cortesía
Melón,Melón,fruta
Cuchillo grande,Kuchillo guasu,sintagma nominal
Yacaré barato,Jakare hepy'ỹ,sintagma nominal
Quiero lechuga,Aipota Lechuga,frase: deseo
Boca,Juru,cuerpo
Lechuza pequeño,Mbopi'i michĩ,sintagma nominal
Águila caro,Taguato hepy,sintagma nominal
Pimienta barato,Kỹikĩ hepy'ỹ,sintagma nominal
Patio rápido,Kora pya'e,sintagma nominal
Murciélago rojo,Mbopi Pytã,animal+color
Lluvia nuevo,Ama pyahu,sintagma nominal
Zorrino amarillo,Suru Sa'yju,animal+color
Tenedor pequeño,Tenédor michĩ,sintagma nominal
Piso pequeño,Yvy michĩ,sintagma nominal
Quiero calabaza,Aipota Kurapepẽ,frase: deseo
Lechuza grande,Mbopi'i guasu,sintagma nominal
Pájaro blanco,Guyra Morotĩ,animal+color
Vaca rojo,Vaka Pytã,animal+color
Quiero melón,Aipota Melón,frase: deseo
Pato marrón,Pato Hũ sa'yju,animal+color
Gato naranja,Mbarakaja Narã,animal+color
Plato viejo,Atyha'i tuja,sintagma nominal
Gato barato,Mbarakaja hepy'ỹ,sintagma nominal
Tres,Mbohapy,número
Lechuza bonito,Mbopi'i porã,sintagma nominal
Olla feo,Kyguãi vai,sintagma nominal
Piña nuevo,Karapepẽ pyahu,sintagma nominal
Sapo barato,Kururu hepy'ỹ,sintagma nominal
Zorrino grande,Suru guasu,sintagma nominal
Tenedor viejo,Tenédor tuja,sintagma nominal
Campo grande,Okára guasu,sintagma nominal
Cama rápido,Tupao pya'e,sintagma nominal
Pato feo,Pato vai,sintagma nominal
Sol caro,Kuarahy hepy,sintagma nominal
Pato amarillo,Pato Sa'yju,animal+color
Cerdo nuevo,Kure pyahu,sintagma nominal
Ajo grande,Ajo guasu,sintagma nominal
Lechuza rojo,Mbopi'i Pytã,animal+color
Papaya lento,Mamón mbeguemi,sintagma nominal
Mercado,Merkádo,lugar/naturaleza
Perro rosa,Jagua Pytã asy,animal+color
Caballo viejo,Kavaju tuja,sintagma nominal
Sopa bonito,Sopa porã,sintagma nominal
Seis,Poteĩ,número
Iglesia,Tupao,lugar/naturaleza
Gallina pequeño,Ryguasu michĩ,sintagma nominal
Sopa grande,Sopa guasu,sintagma nominal
Plato caro,Atyha'i hepy,sintagma nominal
Pato negro,Pato Hũ,animal+color
Tu primo,Nde Prímo,posesivo+familia
Tortuga barato,Karaí hepy'ỹ,sintagma nominal
Silla bonito,Guapyha porã,sintagma nominal
